Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
15,000	-0,005	-0,005	0,070	-1,1250E-4	-1,250E-4	0,002	99,488	3,99	62,0
15,050	-0,005	0,000	0,052	-1,1250E-4	0,000	0,001	99,479	3,99	
15,100	-0,005	0,000	0,017	-1,1250E-4	0,000	4,167E-4	99,477	3,99	
15,150	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,446	3,99	
15,200	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,481	3,99	
15,250	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,468	3,99	
15,300	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,481	4,00	
15,350	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,471	4,00	
15,400	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,479	4,00	
15,450	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,530	4,00	
15,500	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,508	4,00	62,0
15,550	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,499	3,99	
15,600	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,479	4,00	
15,650	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,503	4,00	
15,700	-0,005	0,000	-0,017	-1,1250E-4	0,000	-4,167E-4	99,436	4,00	
15,750	-0,005	0,000	-0,052	-1,1250E-4	0,000	-0,001	99,484	4,00	
15,800	-0,005	-0,005	-0,070	-1,1250E-4	-1,250E-4	-0,002	99,444	4,00	
15,850	-0,005	-0,010	-0,035	-1,1250E-4	-2,500E-4	-8,333E-4	99,468	4,00	
15,900	-0,006	-0,010	0,035	-1,5000E-4	-2,500E-4	8,333E-4	99,488	4,00	
15,950	-0,006	-0,005	0,070	-1,5000E-4	-1,250E-4	0,002	99,460	4,01	
16,000	-0,006	0,000	0,052	-1,5000E-4	0,000	0,001	99,488	4,00	62,0
16,050	-0,006	0,000	0,017	-1,5000E-4	0,000	4,167E-4	99,516	4,00	
16,100	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,492	4,00	
16,150	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,464	4,00	
16,200	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,495	4,00	
16,250	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,481	4,00	
16,300	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,527	4,00	
16,350	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,501	4,01	
16,400	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,501	4,00	
16,450	-0,006	0,000	0,000	-1,5000E-4	0,000	0,000	99,481	4,00	
16,500	-0,006	0,000	-0,262	-1,5000E-4	0,000	-0,006	99,486	4,00	62,0
16,550	-0,006	0,000	-0,855	-1,5000E-4	0,000	-0,020	99,464	4,01	
